Epoch 1, Train Loss: 1147652.0208, Test Loss: 586983.6667
Epoch 2, Train Loss: 440047.5764, Test Loss: 337512.8021
Epoch 3, Train Loss: 314104.9410, Test Loss: 286346.0174
Epoch 4, Train Loss: 275538.5781, Test Loss: 261598.2708
Epoch 5, Train Loss: 254909.4514, Test Loss: 244144.7674
Epoch 6, Train Loss: 240126.6823, Test Loss: 231183.6493
Epoch 7, Train Loss: 228551.9080, Test Loss: 222340.8003
Epoch 8, Train Loss: 221871.8229, Test Loss: 218469.2969
Epoch 9, Train Loss: 217505.9479, Test Loss: 214722.2153
Epoch 10, Train Loss: 213620.6146, Test Loss: 210863.4132
Epoch 11, Train Loss: 210910.8299, Test Loss: 209078.3976
Epoch 12, Train Loss: 209336.5868, Test Loss: 207963.7569
Epoch 13, Train Loss: 207972.0243, Test Loss: 205115.9948
Epoch 14, Train Loss: 206722.6441, Test Loss: 206024.7882
Epoch 15, Train Loss: 206878.8368, Test Loss: 201928.4253
Epoch 16, Train Loss: 203200.0139, Test Loss: 200621.1753
Epoch 17, Train Loss: 201300.1615, Test Loss: 199121.3073
Epoch 18, Train Loss: 199620.9583, Test Loss: 199788.2274
Epoch 19, Train Loss: 200230.3906, Test Loss: 199194.5903
Epoch 20, Train Loss: 197104.8264, Test Loss: 194807.7517
Epoch 21, Train Loss: 194641.8594, Test Loss: 193710.7899
Epoch 22, Train Loss: 193330.4878, Test Loss: 193276.5087
Epoch 23, Train Loss: 192974.7257, Test Loss: 189991.7205
Epoch 24, Train Loss: 190044.3698, Test Loss: 187828.9878
Epoch 25, Train Loss: 188137.4549, Test Loss: 186415.0278
Epoch 26, Train Loss: 186835.8299, Test Loss: 184507.6840
Epoch 27, Train Loss: 184371.3368, Test Loss: 182877.0608
Epoch 28, Train Loss: 182854.4201, Test Loss: 181106.4427
Epoch 29, Train Loss: 181586.4670, Test Loss: 180145.0174
Epoch 30, Train Loss: 179590.8160, Test Loss: 177281.5451
Epoch 31, Train Loss: 177825.4045, Test Loss: 175999.5347
Epoch 32, Train Loss: 176977.7170, Test Loss: 175091.9444
Epoch 33, Train Loss: 176387.2587, Test Loss: 174569.1163
Epoch 34, Train Loss: 175741.5764, Test Loss: 174535.4861
Epoch 35, Train Loss: 173095.5104, Test Loss: 170743.9913
Epoch 36, Train Loss: 171093.3507, Test Loss: 168405.3177
Epoch 37, Train Loss: 169015.6337, Test Loss: 167104.2830
Epoch 38, Train Loss: 167193.8524, Test Loss: 164540.8264
Epoch 39, Train Loss: 167154.1128, Test Loss: 167422.6823
Epoch 40, Train Loss: 177467.4132, Test Loss: 170544.4097
Epoch 41, Train Loss: 172524.8090, Test Loss: 175184.4444
Epoch 42, Train Loss: 172118.4896, Test Loss: 175420.4878
Epoch 43, Train Loss: 168632.8333, Test Loss: 163631.5243
Epoch 44, Train Loss: 163506.6128, Test Loss: 159153.5538
Epoch 45, Train Loss: 160419.5469, Test Loss: 156942.9444
Epoch 46, Train Loss: 157323.3507, Test Loss: 156426.4010
Epoch 47, Train Loss: 155672.6493, Test Loss: 154094.2882
Epoch 48, Train Loss: 154757.0990, Test Loss: 154676.3385
Epoch 49, Train Loss: 153672.6146, Test Loss: 153109.1319
Epoch 50, Train Loss: 153258.9158, Test Loss: 150908.8733
Epoch 51, Train Loss: 151777.8524, Test Loss: 149786.1207
Epoch 52, Train Loss: 150689.8707, Test Loss: 149244.7769
Epoch 53, Train Loss: 149293.8194, Test Loss: 147489.4688
Epoch 54, Train Loss: 149153.4688, Test Loss: 152209.4306
Epoch 55, Train Loss: 151695.2205, Test Loss: 148145.3490
Epoch 56, Train Loss: 147055.2283, Test Loss: 145183.8733
Epoch 57, Train Loss: 145702.1944, Test Loss: 143845.0217
Epoch 58, Train Loss: 144045.1224, Test Loss: 143982.6068
Epoch 59, Train Loss: 143662.8602, Test Loss: 141988.7257
Epoch 60, Train Loss: 142280.2335, Test Loss: 140737.9375
Epoch 61, Train Loss: 143293.7917, Test Loss: 141535.0486
Epoch 62, Train Loss: 142998.3646, Test Loss: 138674.0113
Epoch 63, Train Loss: 139785.6536, Test Loss: 137928.6840
Epoch 64, Train Loss: 138137.5981, Test Loss: 136654.9653
Epoch 65, Train Loss: 138868.9766, Test Loss: 135904.1484
Epoch 66, Train Loss: 137138.3906, Test Loss: 136398.9392
Epoch 67, Train Loss: 136709.4080, Test Loss: 135038.3585
Epoch 68, Train Loss: 135764.4601, Test Loss: 134934.6467
Epoch 69, Train Loss: 135612.2092, Test Loss: 135002.8863
Epoch 70, Train Loss: 134540.0686, Test Loss: 132558.4731
Epoch 71, Train Loss: 135756.0417, Test Loss: 133250.6918
Epoch 72, Train Loss: 135207.8377, Test Loss: 135216.2396
Epoch 73, Train Loss: 139709.3689, Test Loss: 132513.0972
Epoch 74, Train Loss: 141279.2648, Test Loss: 140601.1597
Epoch 75, Train Loss: 137222.6389, Test Loss: 138745.5972
Epoch 76, Train Loss: 134642.2370, Test Loss: 130065.8359
Epoch 77, Train Loss: 129960.1424, Test Loss: 127958.9818
Epoch 78, Train Loss: 129191.8646, Test Loss: 127855.7431
Epoch 79, Train Loss: 127645.7196, Test Loss: 126974.0573
Epoch 80, Train Loss: 126230.3741, Test Loss: 124578.4731
Epoch 81, Train Loss: 125728.9306, Test Loss: 124219.1033
Epoch 82, Train Loss: 125129.9575, Test Loss: 123490.2587
Epoch 83, Train Loss: 124608.9288, Test Loss: 123104.3655
Epoch 84, Train Loss: 123791.0877, Test Loss: 123700.8585
Epoch 85, Train Loss: 123948.8394, Test Loss: 121671.4488
Epoch 86, Train Loss: 123529.9418, Test Loss: 121672.0477
Epoch 87, Train Loss: 122592.9861, Test Loss: 119366.1753
Epoch 88, Train Loss: 121779.1684, Test Loss: 121302.8030
Epoch 89, Train Loss: 123493.6267, Test Loss: 123680.4332
Epoch 90, Train Loss: 122672.3828, Test Loss: 126068.0139
Epoch 91, Train Loss: 125792.5781, Test Loss: 122402.0833
Epoch 92, Train Loss: 122321.6215, Test Loss: 118399.6823
Epoch 93, Train Loss: 119261.9505, Test Loss: 116489.3247
Epoch 94, Train Loss: 117034.7960, Test Loss: 115705.2630
Epoch 95, Train Loss: 115762.4210, Test Loss: 114268.8811
Epoch 96, Train Loss: 114560.4740, Test Loss: 113464.7639
Epoch 97, Train Loss: 113926.1649, Test Loss: 112326.9080
Epoch 98, Train Loss: 112722.5260, Test Loss: 111322.8125
Epoch 99, Train Loss: 111983.0009, Test Loss: 110996.4219
Epoch 100, Train Loss: 111835.2587, Test Loss: 110145.4253
Epoch 101, Train Loss: 110767.4418, Test Loss: 109816.1979
Epoch 102, Train Loss: 110021.1832, Test Loss: 108857.1927
Epoch 103, Train Loss: 109522.7969, Test Loss: 107945.1224
Epoch 104, Train Loss: 109096.9896, Test Loss: 108110.8490
Epoch 105, Train Loss: 109315.8707, Test Loss: 107569.2917
Epoch 106, Train Loss: 108233.2908, Test Loss: 107331.5078
Epoch 107, Train Loss: 109133.5339, Test Loss: 106574.7457
Epoch 108, Train Loss: 109418.1927, Test Loss: 106593.0269
Epoch 109, Train Loss: 109057.5234, Test Loss: 110713.7092
Epoch 110, Train Loss: 109466.5773, Test Loss: 112558.7778
Epoch 111, Train Loss: 108908.4062, Test Loss: 105474.5920
Epoch 112, Train Loss: 106038.5312, Test Loss: 106077.0347
