Epoch 1, Train Loss: 1266814.7708, Test Loss: 675974.1944
Epoch 2, Train Loss: 487464.6632, Test Loss: 355130.5000
Epoch 3, Train Loss: 316883.4514, Test Loss: 285599.4392
Epoch 4, Train Loss: 271018.9774, Test Loss: 257469.3455
Epoch 5, Train Loss: 250006.2674, Test Loss: 241458.7066
Epoch 6, Train Loss: 235823.8837, Test Loss: 229710.2899
Epoch 7, Train Loss: 227250.3090, Test Loss: 219921.8056
Epoch 8, Train Loss: 219982.0503, Test Loss: 216347.9601
Epoch 9, Train Loss: 215147.1198, Test Loss: 212331.8802
Epoch 10, Train Loss: 212082.8299, Test Loss: 209971.8264
Epoch 11, Train Loss: 210135.8316, Test Loss: 208139.1233
Epoch 12, Train Loss: 207857.6910, Test Loss: 206750.6667
Epoch 13, Train Loss: 206913.6510, Test Loss: 206200.3056
Epoch 14, Train Loss: 205476.8247, Test Loss: 204427.5174
Epoch 15, Train Loss: 204964.5260, Test Loss: 203689.7969
Epoch 16, Train Loss: 203665.5712, Test Loss: 202898.7083
Epoch 17, Train Loss: 202072.0885, Test Loss: 201601.5712
Epoch 18, Train Loss: 201294.2257, Test Loss: 198414.5191
Epoch 19, Train Loss: 199417.6510, Test Loss: 198003.0677
Epoch 20, Train Loss: 197724.3941, Test Loss: 196636.9722
Epoch 21, Train Loss: 197065.0156, Test Loss: 193987.5694
Epoch 22, Train Loss: 194523.1372, Test Loss: 193280.3594
Epoch 23, Train Loss: 194661.5104, Test Loss: 192913.5208
Epoch 24, Train Loss: 192016.9080, Test Loss: 190069.7014
Epoch 25, Train Loss: 191269.0035, Test Loss: 189283.9497
Epoch 26, Train Loss: 189913.6597, Test Loss: 187200.4896
Epoch 27, Train Loss: 188367.0434, Test Loss: 186708.1545
Epoch 28, Train Loss: 187571.0885, Test Loss: 187153.0903
Epoch 29, Train Loss: 187966.5243, Test Loss: 187650.4028
Epoch 30, Train Loss: 186346.3264, Test Loss: 188155.2517
Epoch 31, Train Loss: 182835.5330, Test Loss: 180346.2865
Epoch 32, Train Loss: 179445.2135, Test Loss: 176936.0972
Epoch 33, Train Loss: 176692.8750, Test Loss: 174256.3646
Epoch 34, Train Loss: 174409.7448, Test Loss: 172997.8299
Epoch 35, Train Loss: 172995.0399, Test Loss: 170397.1441
Epoch 36, Train Loss: 170649.5677, Test Loss: 169515.5035
Epoch 37, Train Loss: 169930.4080, Test Loss: 169191.1319
Epoch 38, Train Loss: 168560.9601, Test Loss: 166329.6944
Epoch 39, Train Loss: 168745.8455, Test Loss: 164821.8264
Epoch 40, Train Loss: 165749.6337, Test Loss: 163834.8941
Epoch 41, Train Loss: 164170.9688, Test Loss: 164199.6389
Epoch 42, Train Loss: 165884.0677, Test Loss: 166100.0278
Epoch 43, Train Loss: 168317.7552, Test Loss: 164498.5069
Epoch 44, Train Loss: 167736.9045, Test Loss: 163067.0625
Epoch 45, Train Loss: 168798.5417, Test Loss: 161350.6094
Epoch 46, Train Loss: 162830.7500, Test Loss: 158287.4323
Epoch 47, Train Loss: 159625.2648, Test Loss: 156928.6389
Epoch 48, Train Loss: 157013.0946, Test Loss: 154646.4878
Epoch 49, Train Loss: 155423.0677, Test Loss: 152970.2257
Epoch 50, Train Loss: 153998.1215, Test Loss: 152624.7491
Epoch 51, Train Loss: 152302.8090, Test Loss: 150692.9193
Epoch 52, Train Loss: 151130.1128, Test Loss: 149336.9045
