Epoch 1, Train Loss: 1194631.9236, Test Loss: 593729.3264
Epoch 2, Train Loss: 454024.3576, Test Loss: 346724.7083
Epoch 3, Train Loss: 303062.5990, Test Loss: 268518.1302
Epoch 4, Train Loss: 259793.9080, Test Loss: 246735.4670
Epoch 5, Train Loss: 241686.0122, Test Loss: 231208.4045
Epoch 6, Train Loss: 229223.7934, Test Loss: 222659.2049
Epoch 7, Train Loss: 221354.0330, Test Loss: 217595.3264
Epoch 8, Train Loss: 216823.6858, Test Loss: 216467.5174
Epoch 9, Train Loss: 214006.1562, Test Loss: 210134.0417
Epoch 10, Train Loss: 211079.9392, Test Loss: 208457.6632
Epoch 11, Train Loss: 209205.0469, Test Loss: 207021.0226
Epoch 12, Train Loss: 207713.2205, Test Loss: 207281.0295
Epoch 13, Train Loss: 206204.5903, Test Loss: 204877.7934
Epoch 14, Train Loss: 205273.8837, Test Loss: 202221.1580
Epoch 15, Train Loss: 202827.1753, Test Loss: 200617.3073
Epoch 16, Train Loss: 201298.8524, Test Loss: 199207.9358
Epoch 17, Train Loss: 199243.1476, Test Loss: 196723.7656
Epoch 18, Train Loss: 198044.1806, Test Loss: 195526.8490
Epoch 19, Train Loss: 196117.2587, Test Loss: 194358.0486
Epoch 20, Train Loss: 194395.8663, Test Loss: 192503.9514
Epoch 21, Train Loss: 192830.9618, Test Loss: 190970.6128
Epoch 22, Train Loss: 191102.6215, Test Loss: 190918.9757
Epoch 23, Train Loss: 190976.1024, Test Loss: 190873.1424
Epoch 24, Train Loss: 190283.0295, Test Loss: 192407.9826
Epoch 25, Train Loss: 188328.5399, Test Loss: 185659.1944
Epoch 26, Train Loss: 186815.8906, Test Loss: 185890.5972
Epoch 27, Train Loss: 184860.1997, Test Loss: 182542.3611
Epoch 28, Train Loss: 182878.2691, Test Loss: 179691.8681
Epoch 29, Train Loss: 180901.9479, Test Loss: 178537.4670
Epoch 30, Train Loss: 178427.7517, Test Loss: 175055.7274
Epoch 31, Train Loss: 175893.4653, Test Loss: 173660.4306
Epoch 32, Train Loss: 174094.6372, Test Loss: 172614.6267
Epoch 33, Train Loss: 172490.5208, Test Loss: 170765.4670
Epoch 34, Train Loss: 171086.3924, Test Loss: 169534.3993
Epoch 35, Train Loss: 169528.9635, Test Loss: 166636.3715
Epoch 36, Train Loss: 166934.5365, Test Loss: 165558.3872
Epoch 37, Train Loss: 165431.5486, Test Loss: 162759.6337
Epoch 38, Train Loss: 164217.9062, Test Loss: 161449.3802
Epoch 39, Train Loss: 169025.2760, Test Loss: 166671.1528
Epoch 40, Train Loss: 162854.1042, Test Loss: 159846.9514
Epoch 41, Train Loss: 160838.7708, Test Loss: 159498.0295
Epoch 42, Train Loss: 160390.7483, Test Loss: 157758.1823
Epoch 43, Train Loss: 156805.2031, Test Loss: 155304.5903
Epoch 44, Train Loss: 157117.8212, Test Loss: 156087.2543
Epoch 45, Train Loss: 156827.8264, Test Loss: 158733.4236
Epoch 46, Train Loss: 157462.8924, Test Loss: 153271.4167
Epoch 47, Train Loss: 155954.9774, Test Loss: 159082.3090
Epoch 48, Train Loss: 153851.3498, Test Loss: 151564.1076
Epoch 49, Train Loss: 151227.3281, Test Loss: 147538.8924
Epoch 50, Train Loss: 148530.8785, Test Loss: 147405.1771
Epoch 51, Train Loss: 146963.3056, Test Loss: 144985.3385
Epoch 52, Train Loss: 147100.5451, Test Loss: 143694.8229
Epoch 53, Train Loss: 149482.9922, Test Loss: 147886.3845
Epoch 54, Train Loss: 145388.4514, Test Loss: 143463.7760
Epoch 55, Train Loss: 143728.4010, Test Loss: 141648.4115
Epoch 56, Train Loss: 143024.4340, Test Loss: 140808.4965
Epoch 57, Train Loss: 141443.8264, Test Loss: 141496.0998
Epoch 58, Train Loss: 142364.6554, Test Loss: 142038.6892
Epoch 59, Train Loss: 142807.1293, Test Loss: 138374.7873
Epoch 60, Train Loss: 141601.2075, Test Loss: 145443.1979
Epoch 61, Train Loss: 145021.9167, Test Loss: 148978.5990
Epoch 62, Train Loss: 142660.4835, Test Loss: 145902.9705
Epoch 63, Train Loss: 140309.9905, Test Loss: 137504.5903
Epoch 64, Train Loss: 138360.8941, Test Loss: 136647.5217
Epoch 65, Train Loss: 137413.4957, Test Loss: 133905.5747
Epoch 66, Train Loss: 136361.0339, Test Loss: 141333.6050
Epoch 67, Train Loss: 135441.1710, Test Loss: 133265.2109
Epoch 68, Train Loss: 132414.7986, Test Loss: 130105.9974
Epoch 69, Train Loss: 130862.9618, Test Loss: 129403.8134
Epoch 70, Train Loss: 129496.0234, Test Loss: 127332.8316
Epoch 71, Train Loss: 127752.4670, Test Loss: 126154.3776
Epoch 72, Train Loss: 126676.5720, Test Loss: 125541.3542
Epoch 73, Train Loss: 126072.5781, Test Loss: 124844.9670
Epoch 74, Train Loss: 125179.9106, Test Loss: 124028.4939
Epoch 75, Train Loss: 123936.0052, Test Loss: 123488.4618
