Epoch 1, Train Loss: 1083432.8681, Test Loss: 496134.4549
Epoch 2, Train Loss: 386738.0799, Test Loss: 305380.7726
Epoch 3, Train Loss: 297784.2135, Test Loss: 285820.2188
Epoch 4, Train Loss: 278154.3247, Test Loss: 272403.4844
Epoch 5, Train Loss: 266517.5868, Test Loss: 259657.5000
Epoch 6, Train Loss: 255494.9653, Test Loss: 249592.0625
Epoch 7, Train Loss: 244400.4878, Test Loss: 239610.6476
Epoch 8, Train Loss: 232762.3125, Test Loss: 225930.0955
Epoch 9, Train Loss: 223198.4288, Test Loss: 217897.2188
Epoch 10, Train Loss: 216588.5799, Test Loss: 213237.5868
Epoch 11, Train Loss: 212823.5035, Test Loss: 210316.5677
Epoch 12, Train Loss: 210355.6181, Test Loss: 208091.0226
Epoch 13, Train Loss: 207764.1944, Test Loss: 205760.1910
Epoch 14, Train Loss: 205878.2292, Test Loss: 204412.4253
Epoch 15, Train Loss: 204226.1875, Test Loss: 202103.9288
Epoch 16, Train Loss: 202152.0295, Test Loss: 200490.1927
Epoch 17, Train Loss: 201422.2760, Test Loss: 200596.8003
Epoch 18, Train Loss: 199616.0712, Test Loss: 197223.2622
Epoch 19, Train Loss: 197415.7674, Test Loss: 195629.4931
Epoch 20, Train Loss: 196282.4253, Test Loss: 194334.0608
Epoch 21, Train Loss: 195534.4531, Test Loss: 194030.6458
Epoch 22, Train Loss: 193188.6406, Test Loss: 190838.1476
Epoch 23, Train Loss: 191897.8368, Test Loss: 189084.9010
Epoch 24, Train Loss: 191543.5503, Test Loss: 189867.8125
Epoch 25, Train Loss: 192078.2865, Test Loss: 196843.8160
Epoch 26, Train Loss: 190798.1892, Test Loss: 193778.6406
Epoch 27, Train Loss: 192327.9097, Test Loss: 187458.2552
Epoch 28, Train Loss: 186764.1684, Test Loss: 181320.6736
Epoch 29, Train Loss: 184206.6198, Test Loss: 184341.3056
Epoch 30, Train Loss: 181882.9184, Test Loss: 179340.4722
Epoch 31, Train Loss: 178854.5312, Test Loss: 176630.6562
Epoch 32, Train Loss: 176854.2431, Test Loss: 173922.3976
Epoch 33, Train Loss: 175551.5399, Test Loss: 172964.0729
Epoch 34, Train Loss: 173252.3368, Test Loss: 170970.3889
Epoch 35, Train Loss: 171436.1771, Test Loss: 169646.7535
Epoch 36, Train Loss: 169903.5174, Test Loss: 169997.5295
Epoch 37, Train Loss: 170098.4010, Test Loss: 166089.2865
Epoch 38, Train Loss: 168478.8785, Test Loss: 167904.0087
Epoch 39, Train Loss: 169569.2049, Test Loss: 186554.6389
Epoch 40, Train Loss: 169972.5694, Test Loss: 166374.7378
Epoch 41, Train Loss: 166147.6198, Test Loss: 167082.5226
Epoch 42, Train Loss: 166978.8160, Test Loss: 165936.3941
Epoch 43, Train Loss: 163091.2795, Test Loss: 158571.8299
Epoch 44, Train Loss: 162135.4080, Test Loss: 160376.4201
Epoch 45, Train Loss: 159547.0642, Test Loss: 157108.3142
Epoch 46, Train Loss: 157132.6684, Test Loss: 155542.1406
Epoch 47, Train Loss: 156607.4705, Test Loss: 162255.8819
Epoch 48, Train Loss: 157696.9444, Test Loss: 152134.3021
Epoch 49, Train Loss: 154244.3889, Test Loss: 152526.1927
Epoch 50, Train Loss: 154888.4913, Test Loss: 151901.4566
Epoch 51, Train Loss: 152233.7448, Test Loss: 149491.2344
Epoch 52, Train Loss: 150362.5712, Test Loss: 149633.7986
Epoch 53, Train Loss: 149009.1502, Test Loss: 146530.7066
Epoch 54, Train Loss: 147440.4262, Test Loss: 145493.5955
Epoch 55, Train Loss: 145768.3255, Test Loss: 143889.4219
Epoch 56, Train Loss: 144207.3568, Test Loss: 143303.2222
Epoch 57, Train Loss: 143562.4549, Test Loss: 141534.8698
Epoch 58, Train Loss: 143226.2821, Test Loss: 140579.7778
Epoch 59, Train Loss: 144441.1259, Test Loss: 142365.0738
Epoch 60, Train Loss: 149720.9931, Test Loss: 152380.8472
Epoch 61, Train Loss: 148006.3281, Test Loss: 146061.8932
Epoch 62, Train Loss: 144079.7760, Test Loss: 140291.3359
Epoch 63, Train Loss: 142075.7135, Test Loss: 138547.6510
Epoch 64, Train Loss: 138951.6207, Test Loss: 136442.1146
Epoch 65, Train Loss: 136918.1102, Test Loss: 136168.8681
Epoch 66, Train Loss: 135269.5903, Test Loss: 133520.7439
Epoch 67, Train Loss: 134053.2648, Test Loss: 132090.6311
Epoch 68, Train Loss: 132729.3628, Test Loss: 131306.7630
Epoch 69, Train Loss: 131701.0234, Test Loss: 130200.9236
Epoch 70, Train Loss: 130592.7318, Test Loss: 129323.6953
Epoch 71, Train Loss: 129628.7630, Test Loss: 129120.8333
Epoch 72, Train Loss: 129430.8446, Test Loss: 127662.0616
Epoch 73, Train Loss: 129512.3411, Test Loss: 127062.5859
Epoch 74, Train Loss: 128230.3394, Test Loss: 126229.3273
Epoch 75, Train Loss: 126695.7830, Test Loss: 124743.5503
Epoch 76, Train Loss: 125793.4245, Test Loss: 124120.0165
Epoch 77, Train Loss: 124710.1571, Test Loss: 122923.9271
Epoch 78, Train Loss: 123918.5929, Test Loss: 123156.4557
Epoch 79, Train Loss: 123266.5503, Test Loss: 121746.2630
Epoch 80, Train Loss: 122595.9201, Test Loss: 123027.0929
Epoch 81, Train Loss: 123265.5009, Test Loss: 121431.8906
Epoch 82, Train Loss: 125782.1736, Test Loss: 133166.5964
Epoch 83, Train Loss: 127551.6823, Test Loss: 126200.4497
Epoch 84, Train Loss: 124357.0625, Test Loss: 119759.5651
Epoch 85, Train Loss: 126364.8854, Test Loss: 126205.1085
Epoch 86, Train Loss: 127734.0747, Test Loss: 129050.6502
Epoch 87, Train Loss: 136165.2951, Test Loss: 124588.0339
Epoch 88, Train Loss: 125384.1207, Test Loss: 129034.4826
Epoch 89, Train Loss: 124418.8793, Test Loss: 117387.0877
Epoch 90, Train Loss: 121151.2969, Test Loss: 125668.0087
Epoch 91, Train Loss: 121143.0920, Test Loss: 116781.4740
