Epoch 1, Train Loss: 1301741.9167, Test Loss: 676978.4653
Epoch 2, Train Loss: 477744.0694, Test Loss: 336950.7326
Epoch 3, Train Loss: 316980.2257, Test Loss: 297287.6649
Epoch 4, Train Loss: 287136.8125, Test Loss: 271997.1163
Epoch 5, Train Loss: 268657.4080, Test Loss: 261824.5486
Epoch 6, Train Loss: 255436.5677, Test Loss: 245643.3038
Epoch 7, Train Loss: 242933.7882, Test Loss: 234952.3229
Epoch 8, Train Loss: 230911.3142, Test Loss: 224905.6562
Epoch 9, Train Loss: 222297.1684, Test Loss: 217510.0729
Epoch 10, Train Loss: 216677.8472, Test Loss: 213375.3594
Epoch 11, Train Loss: 212977.0660, Test Loss: 210578.9097
Epoch 12, Train Loss: 210376.5660, Test Loss: 208046.3385
Epoch 13, Train Loss: 208005.8281, Test Loss: 205623.7691
Epoch 14, Train Loss: 205948.4444, Test Loss: 204620.6198
Epoch 15, Train Loss: 204825.2483, Test Loss: 203690.0087
Epoch 16, Train Loss: 203297.0556, Test Loss: 202733.4983
Epoch 17, Train Loss: 201465.0347, Test Loss: 199621.6788
Epoch 18, Train Loss: 199508.1684, Test Loss: 197771.8854
Epoch 19, Train Loss: 198073.3264, Test Loss: 196850.6007
Epoch 20, Train Loss: 196662.6372, Test Loss: 194778.8733
Epoch 21, Train Loss: 195328.3264, Test Loss: 194847.0625
Epoch 22, Train Loss: 193588.5625, Test Loss: 192161.5000
Epoch 23, Train Loss: 191785.9132, Test Loss: 190280.0365
Epoch 24, Train Loss: 190461.9861, Test Loss: 188440.2413
Epoch 25, Train Loss: 189256.5590, Test Loss: 188535.1233
Epoch 26, Train Loss: 188624.8021, Test Loss: 187686.7274
Epoch 27, Train Loss: 186384.3524, Test Loss: 182797.5885
Epoch 28, Train Loss: 184071.8889, Test Loss: 182874.4306
Epoch 29, Train Loss: 182273.8229, Test Loss: 179546.5122
Epoch 30, Train Loss: 179990.0694, Test Loss: 177356.4323
Epoch 31, Train Loss: 178330.6840, Test Loss: 175553.9549
Epoch 32, Train Loss: 176519.0330, Test Loss: 174121.8924
Epoch 33, Train Loss: 176376.9132, Test Loss: 175575.5920
Epoch 34, Train Loss: 177183.3212, Test Loss: 174678.7899
Epoch 35, Train Loss: 175264.6944, Test Loss: 173079.2257
Epoch 36, Train Loss: 173185.6788, Test Loss: 168775.7014
Epoch 37, Train Loss: 170376.8594, Test Loss: 170942.3767
Epoch 38, Train Loss: 170222.0938, Test Loss: 171456.5399
Epoch 39, Train Loss: 169422.4583, Test Loss: 177574.4236
Epoch 40, Train Loss: 168215.1806, Test Loss: 165119.9948
Epoch 41, Train Loss: 164583.3038, Test Loss: 163437.9722
Epoch 42, Train Loss: 162061.3906, Test Loss: 159716.9566
Epoch 43, Train Loss: 160777.6701, Test Loss: 158425.8212
Epoch 44, Train Loss: 158064.4323, Test Loss: 155336.6649
Epoch 45, Train Loss: 156055.6719, Test Loss: 154288.3056
Epoch 46, Train Loss: 155511.9097, Test Loss: 153707.8316
Epoch 47, Train Loss: 154324.2665, Test Loss: 152018.4635
Epoch 48, Train Loss: 153864.4479, Test Loss: 150589.7986
Epoch 49, Train Loss: 152696.6615, Test Loss: 150372.3698
Epoch 50, Train Loss: 150733.2708, Test Loss: 148394.5503
Epoch 51, Train Loss: 150907.3924, Test Loss: 147850.5382
Epoch 52, Train Loss: 148089.3715, Test Loss: 145766.3368
Epoch 53, Train Loss: 146726.8498, Test Loss: 145451.3993
Epoch 54, Train Loss: 144842.9618, Test Loss: 143041.6398
Epoch 55, Train Loss: 144592.0521, Test Loss: 142531.2899
Epoch 56, Train Loss: 148741.5425, Test Loss: 158774.1823
Epoch 57, Train Loss: 151833.3637, Test Loss: 156234.5382
Epoch 58, Train Loss: 152542.9375, Test Loss: 157645.3247
Epoch 59, Train Loss: 149103.4062, Test Loss: 141624.9870
Epoch 60, Train Loss: 145976.4288, Test Loss: 142782.4635
Epoch 61, Train Loss: 140808.3490, Test Loss: 138294.7552
Epoch 62, Train Loss: 138509.2760, Test Loss: 136959.6554
Epoch 63, Train Loss: 140204.7439, Test Loss: 145061.4444
Epoch 64, Train Loss: 140603.6875, Test Loss: 135178.3299
Epoch 65, Train Loss: 137179.2873, Test Loss: 135413.6988
Epoch 66, Train Loss: 136933.5017, Test Loss: 134650.8516
Epoch 67, Train Loss: 135975.9444, Test Loss: 138274.2135
Epoch 68, Train Loss: 133849.6675, Test Loss: 131298.6684
Epoch 69, Train Loss: 132270.1215, Test Loss: 130636.2344
Epoch 70, Train Loss: 130283.1337, Test Loss: 128225.0503
Epoch 71, Train Loss: 129190.2995, Test Loss: 128897.2656
Epoch 72, Train Loss: 127501.7630, Test Loss: 126162.1102
Epoch 73, Train Loss: 126062.9392, Test Loss: 124557.0017
Epoch 74, Train Loss: 125447.1545, Test Loss: 125064.3351
Epoch 75, Train Loss: 125150.5295, Test Loss: 124023.2752
Epoch 76, Train Loss: 124372.4141, Test Loss: 126517.4939
Epoch 77, Train Loss: 127186.0061, Test Loss: 127993.7865
Epoch 78, Train Loss: 123662.6970, Test Loss: 122984.2144
Epoch 79, Train Loss: 122468.6328, Test Loss: 122050.6762
Epoch 80, Train Loss: 121965.7170, Test Loss: 124270.8854
Epoch 81, Train Loss: 122566.8698, Test Loss: 120745.2665
Epoch 82, Train Loss: 119636.7092, Test Loss: 118103.5677
Epoch 83, Train Loss: 119288.1215, Test Loss: 117608.8247
Epoch 84, Train Loss: 119070.4184, Test Loss: 117539.8394
Epoch 85, Train Loss: 118239.3142, Test Loss: 116462.8299
Epoch 86, Train Loss: 116614.3602, Test Loss: 114202.1450
