Epoch 1, Train Loss: 1318337.7917, Test Loss: 680387.8819
Epoch 2, Train Loss: 481316.1458, Test Loss: 331868.1597
Epoch 3, Train Loss: 314358.0243, Test Loss: 294261.2951
Epoch 4, Train Loss: 280885.0885, Test Loss: 266256.5521
Epoch 5, Train Loss: 258704.5434, Test Loss: 248585.1267
Epoch 6, Train Loss: 241683.4774, Test Loss: 235745.1823
Epoch 7, Train Loss: 231013.7483, Test Loss: 224698.3472
Epoch 8, Train Loss: 222422.7934, Test Loss: 219115.8993
Epoch 9, Train Loss: 218165.4809, Test Loss: 216318.2222
Epoch 10, Train Loss: 216071.6493, Test Loss: 214643.8628
Epoch 11, Train Loss: 214688.7847, Test Loss: 212719.6267
Epoch 12, Train Loss: 212874.6007, Test Loss: 211569.2431
Epoch 13, Train Loss: 211588.9549, Test Loss: 209661.2951
Epoch 14, Train Loss: 210007.7847, Test Loss: 208626.2118
Epoch 15, Train Loss: 208833.7465, Test Loss: 206592.5677
Epoch 16, Train Loss: 207002.1979, Test Loss: 205773.3906
Epoch 17, Train Loss: 206226.5243, Test Loss: 205180.8403
Epoch 18, Train Loss: 204956.1667, Test Loss: 203170.1771
Epoch 19, Train Loss: 203250.3299, Test Loss: 201023.2031
Epoch 20, Train Loss: 201317.1406, Test Loss: 199781.2552
Epoch 21, Train Loss: 200175.9740, Test Loss: 198184.2135
Epoch 22, Train Loss: 199624.0069, Test Loss: 197490.8333
Epoch 23, Train Loss: 197145.3108, Test Loss: 196281.1337
Epoch 24, Train Loss: 196720.1389, Test Loss: 192825.6389
Epoch 25, Train Loss: 195196.1233, Test Loss: 193015.8941
Epoch 26, Train Loss: 193605.6007, Test Loss: 192194.5035
Epoch 27, Train Loss: 191337.1059, Test Loss: 188767.8142
Epoch 28, Train Loss: 190228.8333, Test Loss: 189039.5642
Epoch 29, Train Loss: 188169.2431, Test Loss: 187669.9792
Epoch 30, Train Loss: 185677.2622, Test Loss: 183607.9184
Epoch 31, Train Loss: 184118.7396, Test Loss: 181218.7292
Epoch 32, Train Loss: 182453.5503, Test Loss: 179467.6302
Epoch 33, Train Loss: 179866.6476, Test Loss: 177602.1007
Epoch 34, Train Loss: 177665.2344, Test Loss: 175755.2569
Epoch 35, Train Loss: 180027.3507, Test Loss: 181467.1823
Epoch 36, Train Loss: 180302.7899, Test Loss: 183630.1892
Epoch 37, Train Loss: 178165.7535, Test Loss: 180020.5781
Epoch 38, Train Loss: 175448.2118, Test Loss: 170272.5885
Epoch 39, Train Loss: 170763.9722, Test Loss: 170591.1111
Epoch 40, Train Loss: 168876.7691, Test Loss: 166846.7101
Epoch 41, Train Loss: 168472.8351, Test Loss: 165475.4201
Epoch 42, Train Loss: 165447.4653, Test Loss: 163096.7222
Epoch 43, Train Loss: 164183.7708, Test Loss: 161225.5382
Epoch 44, Train Loss: 162469.6736, Test Loss: 161730.1250
Epoch 45, Train Loss: 161337.2118, Test Loss: 158755.0243
Epoch 46, Train Loss: 164599.6094, Test Loss: 161616.5781
Epoch 47, Train Loss: 160347.5217, Test Loss: 161285.4288
Epoch 48, Train Loss: 159820.5903, Test Loss: 156203.4236
Epoch 49, Train Loss: 157183.6788, Test Loss: 156276.2066
Epoch 50, Train Loss: 154617.6510, Test Loss: 153218.1441
Epoch 51, Train Loss: 155168.8958, Test Loss: 152214.4323
Epoch 52, Train Loss: 154203.9653, Test Loss: 156940.7448
Epoch 53, Train Loss: 153587.3924, Test Loss: 152502.1389
Epoch 54, Train Loss: 151316.4661, Test Loss: 151867.2378
Epoch 55, Train Loss: 151144.4844, Test Loss: 146005.8516
Epoch 56, Train Loss: 146513.0833, Test Loss: 145434.1736
Epoch 57, Train Loss: 145859.8785, Test Loss: 143721.9601
Epoch 58, Train Loss: 145005.6762, Test Loss: 142904.4271
Epoch 59, Train Loss: 144188.7830, Test Loss: 141413.4852
Epoch 60, Train Loss: 142000.4705, Test Loss: 139761.2500
Epoch 61, Train Loss: 140317.5842, Test Loss: 138691.5972
Epoch 62, Train Loss: 139655.4149, Test Loss: 137460.7396
Epoch 63, Train Loss: 139439.4401, Test Loss: 136580.8550
Epoch 64, Train Loss: 138535.7986, Test Loss: 137165.1710
Epoch 65, Train Loss: 139884.4045, Test Loss: 139200.9288
Epoch 66, Train Loss: 140364.4019, Test Loss: 138849.1354
Epoch 67, Train Loss: 137118.3733, Test Loss: 136710.5451
Epoch 68, Train Loss: 136176.1424, Test Loss: 138531.0938
Epoch 69, Train Loss: 136810.8906, Test Loss: 133403.9453
Epoch 70, Train Loss: 134826.0182, Test Loss: 134023.3446
Epoch 71, Train Loss: 133957.1892, Test Loss: 130299.3958
Epoch 72, Train Loss: 132429.2474, Test Loss: 130875.0095
Epoch 73, Train Loss: 131560.8168, Test Loss: 129785.4878
Epoch 74, Train Loss: 129108.2760, Test Loss: 129148.1398
Epoch 75, Train Loss: 129369.4071, Test Loss: 126404.9731
Epoch 76, Train Loss: 126850.1267, Test Loss: 126051.2726
Epoch 77, Train Loss: 126059.7188, Test Loss: 123913.2830
Epoch 78, Train Loss: 124229.4965, Test Loss: 122635.0851
Epoch 79, Train Loss: 123205.6198, Test Loss: 121625.0095
Epoch 80, Train Loss: 122509.2925, Test Loss: 121247.5859
Epoch 81, Train Loss: 124538.4418, Test Loss: 122235.0382
Epoch 82, Train Loss: 127775.6693, Test Loss: 122943.0703
Epoch 83, Train Loss: 128223.1519, Test Loss: 122550.3247
Epoch 84, Train Loss: 131589.6372, Test Loss: 122792.0087
Epoch 85, Train Loss: 126724.3811, Test Loss: 122982.7318
Epoch 86, Train Loss: 121994.2856, Test Loss: 124592.0226
Epoch 87, Train Loss: 122542.0035, Test Loss: 119561.4019
Epoch 88, Train Loss: 119547.8333, Test Loss: 116520.2179
Epoch 89, Train Loss: 116927.8533, Test Loss: 115449.8455
Epoch 90, Train Loss: 115293.5807, Test Loss: 113949.5720
Epoch 91, Train Loss: 114128.9384, Test Loss: 112732.5799
Epoch 92, Train Loss: 112849.9019, Test Loss: 111437.8411
Epoch 93, Train Loss: 112679.3116, Test Loss: 110440.1458
Epoch 94, Train Loss: 113151.0017, Test Loss: 112119.0825
Epoch 95, Train Loss: 111444.0304, Test Loss: 109910.5590
Epoch 96, Train Loss: 111246.7951, Test Loss: 109351.2413
Epoch 97, Train Loss: 109510.7795, Test Loss: 107804.9531
Epoch 98, Train Loss: 108704.4332, Test Loss: 106863.4618
Epoch 99, Train Loss: 110311.0755, Test Loss: 107394.3689
Epoch 100, Train Loss: 110097.4028, Test Loss: 106634.4688
Epoch 101, Train Loss: 108578.6302, Test Loss: 107579.2144
Epoch 102, Train Loss: 107714.2873, Test Loss: 108448.2873
Epoch 103, Train Loss: 107258.6016, Test Loss: 104075.1102
Epoch 104, Train Loss: 105583.8307, Test Loss: 103728.6962
