Epoch 1, Train Loss: 1093039.0417, Test Loss: 491354.8229
Epoch 2, Train Loss: 397849.7014, Test Loss: 326720.4826
Epoch 3, Train Loss: 296641.2899, Test Loss: 275829.6250
Epoch 4, Train Loss: 263562.4549, Test Loss: 250392.9722
Epoch 5, Train Loss: 245319.9861, Test Loss: 234199.3090
Epoch 6, Train Loss: 230307.3611, Test Loss: 223293.0486
Epoch 7, Train Loss: 221956.1753, Test Loss: 218137.2326
Epoch 8, Train Loss: 218280.4844, Test Loss: 213444.5538
Epoch 9, Train Loss: 213947.4809, Test Loss: 210739.3785
Epoch 10, Train Loss: 211027.2743, Test Loss: 208067.6580
Epoch 11, Train Loss: 208439.9184, Test Loss: 206104.1788
Epoch 12, Train Loss: 206748.0660, Test Loss: 205206.2587
Epoch 13, Train Loss: 205666.9670, Test Loss: 202554.0347
Epoch 14, Train Loss: 203097.3090, Test Loss: 201532.8073
Epoch 15, Train Loss: 201760.1615, Test Loss: 199111.9965
Epoch 16, Train Loss: 201670.5191, Test Loss: 198810.2049
Epoch 17, Train Loss: 199821.5330, Test Loss: 195553.4219
Epoch 18, Train Loss: 196423.8490, Test Loss: 196801.0278
Epoch 19, Train Loss: 194688.7500, Test Loss: 191383.4062
Epoch 20, Train Loss: 191813.8906, Test Loss: 190830.6719
Epoch 21, Train Loss: 189490.8733, Test Loss: 186981.5139
Epoch 22, Train Loss: 187438.6215, Test Loss: 185280.0833
Epoch 23, Train Loss: 186987.0000, Test Loss: 183528.1059
Epoch 24, Train Loss: 186120.7535, Test Loss: 181550.8542
Epoch 25, Train Loss: 183950.4306, Test Loss: 180425.1076
Epoch 26, Train Loss: 183187.5226, Test Loss: 179254.6962
Epoch 27, Train Loss: 181995.3941, Test Loss: 176859.9115
Epoch 28, Train Loss: 178640.4236, Test Loss: 174513.3854
Epoch 29, Train Loss: 175605.7882, Test Loss: 171760.0608
Epoch 30, Train Loss: 172067.5174, Test Loss: 169269.5747
Epoch 31, Train Loss: 169852.4844, Test Loss: 166917.5330
Epoch 32, Train Loss: 168274.0781, Test Loss: 165600.0382
Epoch 33, Train Loss: 165973.6441, Test Loss: 163510.4236
Epoch 34, Train Loss: 163933.2622, Test Loss: 162546.3906
Epoch 35, Train Loss: 163423.9358, Test Loss: 162203.1250
Epoch 36, Train Loss: 161421.8889, Test Loss: 159177.0226
Epoch 37, Train Loss: 159176.8316, Test Loss: 157836.3316
Epoch 38, Train Loss: 157776.2569, Test Loss: 156023.8038
Epoch 39, Train Loss: 156651.6580, Test Loss: 154913.3924
Epoch 40, Train Loss: 156951.3924, Test Loss: 152048.8073
Epoch 41, Train Loss: 154892.4462, Test Loss: 150271.0573
Epoch 42, Train Loss: 155985.0799, Test Loss: 151217.5243
Epoch 43, Train Loss: 155681.0460, Test Loss: 152677.8281
Epoch 44, Train Loss: 153785.4479, Test Loss: 155647.2917
Epoch 45, Train Loss: 151402.9878, Test Loss: 147906.3212
Epoch 46, Train Loss: 149288.1701, Test Loss: 145778.2274
Epoch 47, Train Loss: 147235.0469, Test Loss: 143998.0799
Epoch 48, Train Loss: 145261.7500, Test Loss: 141866.6797
Epoch 49, Train Loss: 144000.1068, Test Loss: 142052.1693
Epoch 50, Train Loss: 147863.9201, Test Loss: 146374.6762
Epoch 51, Train Loss: 144341.9410, Test Loss: 140530.2526
Epoch 52, Train Loss: 140834.6849, Test Loss: 137475.0339
Epoch 53, Train Loss: 139116.3932, Test Loss: 138235.8785
Epoch 54, Train Loss: 140784.0000, Test Loss: 140205.7674
Epoch 55, Train Loss: 139716.2040, Test Loss: 135683.9957
Epoch 56, Train Loss: 136108.3342, Test Loss: 135564.7717
