Epoch 1, Train Loss: 1650455.4583, Test Loss: 1282378.1806
Epoch 2, Train Loss: 1064228.9444, Test Loss: 847948.5625
Epoch 3, Train Loss: 720275.1111, Test Loss: 604722.3333
Epoch 4, Train Loss: 554802.6181, Test Loss: 498838.4965
Epoch 5, Train Loss: 470964.5694, Test Loss: 439869.8125
Epoch 6, Train Loss: 421253.8056, Test Loss: 397705.3299
Epoch 7, Train Loss: 383570.7535, Test Loss: 365618.3681
Epoch 8, Train Loss: 355776.3542, Test Loss: 342469.1806
Epoch 9, Train Loss: 333902.1458, Test Loss: 324320.0417
Epoch 10, Train Loss: 316870.8681, Test Loss: 308828.8160
Epoch 11, Train Loss: 303725.0347, Test Loss: 296851.2465
Epoch 12, Train Loss: 291140.7170, Test Loss: 284567.7188
Epoch 13, Train Loss: 279635.1545, Test Loss: 271907.0156
Epoch 14, Train Loss: 266496.2552, Test Loss: 260392.2708
Epoch 15, Train Loss: 256374.9184, Test Loss: 251622.4948
Epoch 16, Train Loss: 248060.3872, Test Loss: 244140.4583
Epoch 17, Train Loss: 242106.4965, Test Loss: 238757.7344
Epoch 18, Train Loss: 236504.7135, Test Loss: 233838.0538
Epoch 19, Train Loss: 232834.0712, Test Loss: 230493.4184
Epoch 20, Train Loss: 230103.3125, Test Loss: 227830.4392
Epoch 21, Train Loss: 227243.2188, Test Loss: 225838.1910
Epoch 22, Train Loss: 225079.0312, Test Loss: 223659.1510
Epoch 23, Train Loss: 223245.8490, Test Loss: 223574.1406
Epoch 24, Train Loss: 221924.3576, Test Loss: 220004.0278
Epoch 25, Train Loss: 219890.0833, Test Loss: 219052.1736
Epoch 26, Train Loss: 218414.1042, Test Loss: 217978.1562
Epoch 27, Train Loss: 217312.5503, Test Loss: 216359.5799
Epoch 28, Train Loss: 216211.6510, Test Loss: 215518.8073
Epoch 29, Train Loss: 215746.2656, Test Loss: 216886.2778
Epoch 30, Train Loss: 215472.5503, Test Loss: 213231.2274
Epoch 31, Train Loss: 213486.5972, Test Loss: 214481.2604
Epoch 32, Train Loss: 214322.7899, Test Loss: 214283.0156
Epoch 33, Train Loss: 213259.5955, Test Loss: 212809.6997
Epoch 34, Train Loss: 212618.9670, Test Loss: 211771.1510
Epoch 35, Train Loss: 211736.6615, Test Loss: 211170.9097
Epoch 36, Train Loss: 211439.3733, Test Loss: 210282.1042
Epoch 37, Train Loss: 211105.4375, Test Loss: 210440.5469
Epoch 38, Train Loss: 211727.1979, Test Loss: 211082.7378
Epoch 39, Train Loss: 211543.6059, Test Loss: 209529.9948
Epoch 40, Train Loss: 210534.3958, Test Loss: 209181.8507
Epoch 41, Train Loss: 209261.8420, Test Loss: 210101.2483
Epoch 42, Train Loss: 209018.8264, Test Loss: 210086.0226
Epoch 43, Train Loss: 210899.3490, Test Loss: 209461.8559
Epoch 44, Train Loss: 212419.0625, Test Loss: 209346.2396
Epoch 45, Train Loss: 211240.4653, Test Loss: 207752.0226
Epoch 46, Train Loss: 212856.1007, Test Loss: 210064.7292
Epoch 47, Train Loss: 212866.2969, Test Loss: 215332.8351
Epoch 48, Train Loss: 211646.8160, Test Loss: 210085.4809
Epoch 49, Train Loss: 210638.5885, Test Loss: 208441.0243
Epoch 50, Train Loss: 209331.1319, Test Loss: 206932.0903
Epoch 51, Train Loss: 207429.8125, Test Loss: 205931.0243
Epoch 52, Train Loss: 206431.2274, Test Loss: 206763.8090
Epoch 53, Train Loss: 207311.8889, Test Loss: 207112.2604
Epoch 54, Train Loss: 207192.7934, Test Loss: 205768.2240
Epoch 55, Train Loss: 206778.3993, Test Loss: 207561.5243
Epoch 56, Train Loss: 206753.5955, Test Loss: 205620.3194
Epoch 57, Train Loss: 205650.5017, Test Loss: 204733.3976
Epoch 58, Train Loss: 205100.1510, Test Loss: 205037.3490
Epoch 59, Train Loss: 204321.2622, Test Loss: 204399.8490
Epoch 60, Train Loss: 204329.3177, Test Loss: 204320.2847
Epoch 61, Train Loss: 204474.5104, Test Loss: 204094.7465
Epoch 62, Train Loss: 204269.6007, Test Loss: 204003.1215
Epoch 63, Train Loss: 203629.9740, Test Loss: 203029.1719
Epoch 64, Train Loss: 203415.4010, Test Loss: 203706.9531
Epoch 65, Train Loss: 203438.6753, Test Loss: 202463.3681
